ID,Sales
T1188341,66030.3
T1188342,39222.99
T1188343,71463.6
T1188344,39686.42
T1188345,39324.72
T1188346,75210.99
T1188347,69189.45
T1188348,51929.96
T1188349,55297.27
T1188350,35342.21
T1188351,54153.12
T1188352,41244.72
T1188353,39473.31
T1188354,43293.68
T1188355,43495.86
T1188356,36562.71
T1188357,50561.0
T1188358,24631.27
T1188359,39188.81
T1188360,54739.76
T1188361,30922.63
T1188362,39911.83
T1188363,43691.47
T1188364,30712.16
T1188365,39217.6
T1188366,35475.72
T1188367,38911.96
T1188368,33512.47
T1188369,39999.0
T1188370,54295.73
T1188371,39245.65
T1188372,55157.74
T1188373,36181.23
T1188374,36212.8
T1188375,70474.35
T1188376,66939.59
T1188377,35986.79
T1188378,39061.19
T1188379,31536.17
T1188380,68557.44
T1188381,35368.36
T1188382,39387.31
T1188383,34602.88
T1188384,35732.76
T1188385,44545.03
T1188386,40139.75
T1188387,68885.64
T1188388,67713.93
T1188389,34872.5
T1188390,86226.72
T1188391,39445.91
T1188392,54807.86
T1188393,65926.27
T1188394,51301.62
T1188395,39282.81
T1188396,69611.66
T1188397,39449.92
T1188398,44066.89
T1188399,39840.5
T1188400,48342.95
T1188401,38239.32
T1188402,23729.55
T1188403,61838.57
T1188404,37798.08
T1188405,37912.25
T1188406,26677.16
T1188407,61815.75
T1188408,37620.3
T1188409,45142.6
T1188410,26852.16
T1188411,61426.47
T1188412,25051.48
T1188413,38077.57
T1188414,29566.37
T1188415,38136.03
T1188416,44584.84
T1188417,53215.27
T1188418,39050.13
T1188419,50323.9
T1188420,61582.05
T1188421,25316.6
T1188422,51341.71
T1188423,67349.35
T1188424,38113.86
T1188425,37775.45
T1188426,38143.44
T1188427,62052.0
T1188428,39531.86
T1188429,60462.12
T1188430,55391.46
T1188431,39107.26
T1188432,23965.12
T1188433,65813.31
T1188434,39322.52
T1188435,35098.44
T1188436,55483.74
T1188437,63244.8
T1188438,28720.46
T1188439,51554.34
T1188440,39779.85
T1188441,35049.55
T1188442,38701.17
T1188443,39413.16
T1188444,42567.57
T1188445,38555.47
T1188446,30913.94
T1188447,63385.68
T1188448,64752.78
T1188449,39901.87
T1188450,38527.87
T1188451,53192.18
T1188452,23804.71
T1188453,49368.8
T1188454,34304.08
T1188455,64125.15
T1188456,27972.46
T1188457,30708.48
T1188458,39389.97
T1188459,67466.42
T1188460,24579.96
T1188461,49515.69
T1188462,39297.0
T1188463,25518.7
T1188464,53325.74
T1188465,39333.63
T1188466,35265.5
T1188467,29773.19
T1188468,39624.22
T1188469,39562.08
T1188470,24890.61
T1188471,39521.07
T1188472,44692.01
T1188473,42282.27
T1188474,53288.92
T1188475,22855.95
T1188476,51637.03
T1188477,39117.93
T1188478,39362.07
T1188479,23932.42
T1188480,50998.24
T1188481,55319.9
T1188482,44621.94
T1188483,54511.76
T1188484,54356.73
T1188485,30296.92
T1188486,23594.24
T1188487,39750.03
T1188488,39415.6
T1188489,38959.63
T1188490,54274.73
T1188491,39700.94
T1188492,34337.71
T1188493,35637.32
T1188494,54402.08
T1188495,32115.26
T1188496,50700.66
T1188497,30742.81
T1188498,39552.13
T1188499,39761.76
T1188500,63414.91
T1188501,35699.41
T1188502,39977.16
T1188503,35319.02
T1188504,34781.75
T1188505,35505.88
T1188506,55230.98
T1188507,41011.94
T1188508,40331.73
T1188509,31937.08
T1188510,39707.13
T1188511,35776.27
T1188512,42324.88
T1188513,33302.39
T1188514,39430.81
T1188515,65998.26
T1188516,38998.57
T1188517,55100.09
T1188518,38602.46
T1188519,54037.46
T1188520,23946.0
T1188521,54999.05
T1188522,39592.54
T1188523,30965.64
T1188524,44474.9
T1188525,65872.04
T1188526,30898.8
T1188527,39643.22
T1188528,34136.34
T1188529,53796.96
T1188530,39909.28
T1188531,55435.3
T1188532,39719.04
T1188533,39510.39
T1188534,40733.24
T1188535,64298.3
T1188536,65979.87
T1188537,71156.14
T1188538,69329.69
T1188539,50860.72
T1188540,43839.98
T1188541,39879.02
T1188542,68958.17
T1188543,40897.56
T1188544,39648.99
T1188545,39023.79
T1188546,32011.83
T1188547,39438.53
T1188548,53671.65
T1188549,30848.59
T1188550,39911.02
T1188551,40522.03
T1188552,22867.04
T1188553,39966.2
T1188554,66718.92
T1188555,39710.03
T1188556,64698.48
T1188557,25240.1
T1188558,32171.68
T1188559,38618.01
T1188560,39610.02
T1188561,44944.62
T1188562,31946.77
T1188563,39730.34
T1188564,65842.41
T1188565,43165.84
T1188566,44556.01
T1188567,54845.01
T1188568,24206.74
T1188569,39197.55
T1188570,39132.77
T1188571,32235.89
T1188572,65742.67
T1188573,35590.39
T1188574,38914.89
T1188575,39060.14
T1188576,65553.0
T1188577,40009.38
T1188578,35334.9
T1188579,38789.26
T1188580,37999.23
T1188581,35505.59
T1188582,30780.91
T1188583,35396.76
T1188584,32370.26
T1188585,79684.86
T1188586,38821.11
T1188587,54184.32
T1188588,34782.71
T1188589,31059.68
T1188590,40225.14
T1188591,31280.04
T1188592,32164.47
T1188593,24523.05
T1188594,74323.96
T1188595,34344.84
T1188596,39413.7
T1188597,81856.18
T1188598,65179.74
T1188599,54496.36
T1188600,36654.18
T1188601,44680.87
T1188602,31298.92
T1188603,81087.38
T1188604,39719.1
T1188605,58120.55
T1188606,31151.9
T1188607,53185.66
T1188608,43513.37
T1188609,31415.07
T1188610,64838.27
T1188611,32812.67
T1188612,51335.4
T1188613,52190.3
T1188614,61187.6
T1188615,34508.42
T1188616,61251.16
T1188617,32839.79
T1188618,54108.31
T1188619,24160.69
T1188620,39776.12
T1188621,36031.9
T1188622,39176.79
T1188623,47097.88
T1188624,27389.67
T1188625,67969.28
T1188626,41096.51
T1188627,41159.82
T1188628,44626.5
T1188629,35569.47
T1188630,39568.48
T1188631,32826.72
T1188632,45330.86
T1188633,39730.34
T1188634,35845.7
T1188635,44042.63
T1188636,32134.02
T1188637,52204.67
T1188638,35225.95
T1188639,69220.47
T1188640,28684.33
T1188641,39132.98
T1188642,39198.0
T1188643,44723.92
T1188644,31536.94
T1188645,33733.95
T1188646,35571.91
T1188647,36321.24
T1188648,39755.64
T1188649,31286.79
T1188650,33643.34
T1188651,35748.52
T1188652,66348.74
T1188653,55001.02
T1188654,39643.41
T1188655,32540.97
T1188656,50443.98
T1188657,44832.74
T1188658,44318.35
T1188659,54470.58
T1188660,35536.77
T1188661,63890.45
T1188662,65080.39
T1188663,38720.77
T1188664,24330.43
T1188665,38942.05
T1188666,55534.48
T1188667,39043.69
T1188668,67465.07
T1188669,63441.47
T1188670,71700.36
T1188671,67466.42
T1188672,66414.91
T1188673,64247.38
T1188674,39900.95
T1188675,54119.54
T1188676,39655.11
T1188677,30380.86
T1188678,49047.89
T1188679,63190.74
T1188680,28454.8
T1188681,31138.57
T1188682,53243.79
T1188683,43623.53
T1188684,28402.43
T1188685,61174.57
T1188686,39713.55
T1188687,50278.46
T1188688,36262.27
T1188689,48488.64
T1188690,38121.33
T1188691,53475.0
T1188692,38561.68
T1188693,60462.12
T1188694,27657.66
T1188695,33806.75
T1188696,50480.92
T1188697,35748.52
T1188698,59185.6
T1188699,60423.89
T1188700,50458.64
T1188701,30821.72
T1188702,64421.17
T1188703,30319.46
T1188704,39721.78
T1188705,63171.74
T1188706,71620.93
T1188707,39740.96
T1188708,28090.91
T1188709,54852.4
T1188710,67281.67
T1188711,44214.98
T1188712,33139.74
T1188713,68096.72
T1188714,39974.57
T1188715,34150.88
T1188716,23678.98
T1188717,65627.2
T1188718,40323.68
T1188719,40174.05
T1188720,24522.57
T1188721,27787.73
T1188722,68096.72
T1188723,67468.06
T1188724,25140.5
T1188725,41129.77
T1188726,50756.13
T1188727,40759.87
T1188728,53970.49
T1188729,39260.98
T1188730,44954.46
T1188731,64909.64
T1188732,34927.55
T1188733,54795.39
T1188734,66574.49
T1188735,25236.02
T1188736,30998.74
T1188737,35807.88
T1188738,24238.4
T1188739,39889.35
T1188740,38730.93
T1188741,40323.11
T1188742,55504.24
T1188743,39899.19
T1188744,43278.89
T1188745,65082.94
T1188746,44793.72
T1188747,39274.72
T1188748,55302.13
T1188749,36070.49
T1188750,36437.95
T1188751,59696.64
T1188752,24859.42
T1188753,66171.96
T1188754,40782.84
T1188755,54632.23
T1188756,40506.65
T1188757,38469.26
T1188758,66837.43
T1188759,65447.96
T1188760,45240.5
T1188761,41017.19
T1188762,65922.36
T1188763,48846.74
T1188764,25836.99
T1188765,51222.83
T1188766,40278.58
T1188767,39695.22
T1188768,33029.55
T1188769,32927.21
T1188770,62792.12
T1188771,54511.54
T1188772,40622.91
T1188773,62827.13
T1188774,44621.14
T1188775,40406.34
T1188776,32974.56
T1188777,27195.27
T1188778,25720.3
T1188779,56029.6
T1188780,50626.27
T1188781,39170.14
T1188782,51712.73
T1188783,35108.41
T1188784,31940.88
T1188785,36035.0
T1188786,55868.26
T1188787,45737.78
T1188788,41308.46
T1188789,25827.45
T1188790,35315.93
T1188791,41245.22
T1188792,33113.06
T1188793,53387.57
T1188794,39178.71
T1188795,40321.09
T1188796,36241.47
T1188797,62815.58
T1188798,43891.79
T1188799,30376.05
T1188800,67978.02
T1188801,33618.78
T1188802,31387.41
T1188803,36020.1
T1188804,34042.18
T1188805,41399.95
T1188806,35777.27
T1188807,35207.76
T1188808,38288.51
T1188809,54508.25
T1188810,31419.99
T1188811,32903.13
T1188812,41930.1
T1188813,31636.14
T1188814,39416.82
